1766220563, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
6 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220588, 3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
6 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220588, 6 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
6 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220588, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220588, 13 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
5 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220589, 6 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
6 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
6 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
4 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220589, 10 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
7 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
6 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
4 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220589, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
5 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
6 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
4 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220589, 13 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
2 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
6 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220590, 10 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
7 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220590, 3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220590, 3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
13 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220590, 5 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
13 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220590, 1 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
8 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220591, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
8 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
6 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220591, 6 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
10 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
6 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220591, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
8 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
7 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220591, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220592, 3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
6 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
6 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220592, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
13 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
6 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220592, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
9 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
16 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
13 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220592, 16 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
6 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220593, 17 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
3 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
23 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220593, 3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
24 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
16 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220593, 12 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
11 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220594, 16 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
14 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
11 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220594, 13 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
7 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
8 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220595, 19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
6 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
9 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220596, 20 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
7 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
3 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
16 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220596, 10 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
13 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
10 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
6 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220597, 13 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
16 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
21 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
18 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220597, 21 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
20 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
17 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220598, 22 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
18 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
24 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
16 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220598, 21 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
23 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
21 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
30 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220598, 23 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
16 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
21 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
15 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220598, 23 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
23 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
21 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
23 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220599, 23 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
16 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
12 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220599, 23 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
29 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
13 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
14 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220599, 21 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
25 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
16 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220599, 18 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
14 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
22 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
22 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220600, 21 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
16 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
27 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220600, 18 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
33 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
18 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220600, 13 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
20 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
44 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
12 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220600, 16 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
20 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
20 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
22 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220601, 15 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
17 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
26 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220601, 30 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
36 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
6 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
24 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220601, 37 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
17 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
15 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
22 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220601, 22 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
22 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
18 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220601, 21 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
22 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
18 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
17 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220602, 21 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
24 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
17 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
13 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220602, 16 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
6 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
10 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220602, 23 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
13 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
26 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
20 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220602, 27 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
29 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
25 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
40 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220603, 19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
37 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
22 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
28 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220603, 43 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
27 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
44 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
24 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220603, 19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
25 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
37 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
36 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220603, 28 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
39 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
21 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
26 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220604, 38 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
29 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
34 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
26 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220604, 17 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
26 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
24 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
23 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220604, 36 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
22 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
32 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
41 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220604, 23 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
36 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
24 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
20 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220605, 20 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
28 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
32 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
43 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220605, 38 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
20 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
32 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
20 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220605, 26 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
43 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
38 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
31 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220605, 22 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
19 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
21 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
29 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220605, 39 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
42 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
38 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
40 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220606, 21 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
18 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
20 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
18 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220606, 41 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
31 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
45 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
42 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220606, 31 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
18 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220606, 21 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
26 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
32 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
22 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220607, 23 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
35 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
18 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
36 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220607, 18 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
23 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
33 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220607, 20 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
20 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
22 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
36 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220607, 26 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
27 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
35 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
18 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220608, 43 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
36 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
34 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220608, 18 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
20 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
18 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
18 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220608, 38 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
42 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
46 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
18 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220608, 30 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
44 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
29 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
18 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220609, 27 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
17 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
17 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220609, 21 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
38 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
41 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
31 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220609, 28 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
24 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
15 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
28 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220609, 0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
23 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
0 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
0 %, 0 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220609, 13 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
14 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
17 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
28 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220610, 20 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
21 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
24 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220610, 19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
37 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
40 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
26 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220610, 33 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
19 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
25 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
16 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220610, 22 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
30 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
23 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
40 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220611, 21 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
36 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
36 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
41 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220611, 36 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220611, 21 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
37 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
23 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220611, 26 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
36 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
24 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
43 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220612, 16 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
33 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
20 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
18 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220612, 42 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
24 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
37 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
39 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220612, 19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
34 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
16 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
36 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220612, 37 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
27 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
28 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
21 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220613, 21 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
41 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
31 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
35 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220613, 20 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
41 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
28 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
25 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220613, 39 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
22 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
23 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
42 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220613, 18 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
31 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
31 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220614, 19 %, 1 %, 40960 MiB, 39143 MiB, 1185 MiB
30 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
33 %, 2 %, 40960 MiB, 39143 MiB, 1185 MiB
23 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220614, 39 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
25 %, 2 %, 40960 MiB, 39141 MiB, 1187 MiB
5 %, 0 %, 40960 MiB, 39143 MiB, 1185 MiB
38 %, 3 %, 40960 MiB, 39141 MiB, 1187 MiB
1766220614, 41 %, 3 %, 40960 MiB, 39143 MiB, 1185 MiB
19 %, 1 %, 40960 MiB, 39141 MiB, 1187 MiB
